from,to,from_class,to_class,distcorr
1,2,GB3(d18:1),LacCer(d18:1),0
2,3,LacCer(d18:1),HexCer(d18:1),0
3,4,HexCer(d18:1),Cer(d18:1),0
4,5,Cer(d18:1),SM(d18:1),0
4,6,Cer(d18:1),PECer(d18:1),0
3,7,HexCer(d18:1),HexSph(d18:1),0
7,8,HexSph(d18:1),Sph(d18:1),0.8
4,8,Cer(d18:1),Sph(d18:1),0.8
8,9,Sph(d18:1),S1P(d18:1),0
7,10,HexSph(d18:1),HexCer(d18:1)OH,0.8
8,11,Sph(d18:1),Cer(d18:1)OH,0
10,11,HexCer(d18:1)OH,Cer(d18:1)OH,0
11,12,Cer(d18:1)OH,SM(d18:1)OH,0.2
