from,to,from_class,to_class,distcorr
1,2,GB3(d18:1),LacCer(d18:1),0
2,3,LacCer(d18:1),GlcCer(d18:1),0
3,4,GlcCer(d18:1),Cer(d18:1),0
4,5,Cer(d18:1),SM(d18:1),0
4,6,Cer(d18:1),PECer(d18:1),0
4,7,Cer(d18:1),GalCer(d18:1),0
7,8,GalCer(d18:1),GalSph(d18:1),0
8,9,GalSph(d18:1),Sph(d18:1),0
4,9,Cer(d18:1),Sph(d18:1),0
4,10,Cer(d18:1),Sph(d18:1),0
3,11,GlcCer(d18:1),GlcSph(d18:1),0
10,11,Sph(d18:1),GlcSph(d18:1),0
